"","avgHandBatterCareer","avgPlaceBatterCareer","avgHandPitcherCareer","avgPlacePitcherCareer","sampleHandBatterCareer","samplePlaceBatterCareer","sampleHandPitcherCareer","samplePlacePitcherCareer","avgHandBatter2015","avgPlaceBatter2015","avgHandPitcher2015","avgPlacePitcher2015","sampleHandBatter2015","samplePlaceBatter2015","sampleHandPitcher2015","samplePlacePitcher2015","avgHandBatter2014","avgPlaceBatter2014","avgHandPitcher2014","avgPlacePitcher2014","sampleHandBatter2014","samplePlaceBatter2014","sampleHandPitcher2014","samplePlacePitcher2014","hit","atBats","pitcherAvgInMonth","batterAvgInMonth","parkFactor","Date"
"1",0.2182285,0.22231834,0.239956803455724,0.234765234765235,1558,1156,4630,5005,0.24170616,0.25,0.194774346793349,0.219047619047619,422,324,421,420,0.18333333,0.17791411,0.237986270022883,0.252927400468384,180,163,437,427,"0",4,0.221185876082612,0.21515892,"0.96","2016-09-26"
"2",0.26569218,0.24254215,0.233922829581994,0.234765234765235,1163,771,4976,5005,0.30285714,0.25165563,0.24373576309795,0.219047619047619,175,151,439,420,0.29736842,0.23181818,0.239043824701195,0.252927400468384,380,220,502,427,"1",3,0.221185876082612,0.27322404,"0.96","2016-09-26"
"3",0.2351912,0.23975775,0.239956803455724,0.234765234765235,4001,2807,4630,5005,0.22267206,0.23738872,0.194774346793349,0.219047619047619,494,337,421,420,0.22350674,0.22379603,0.237986270022883,0.252927400468384,519,353,437,427,"0",2,0.221185876082612,0.24165029,"0.96","2016-09-26"
"4",0.22655123,0.21466525,0.233922829581994,0.234765234765235,1386,941,4976,5005,0.23138298,0.216,0.24373576309795,0.219047619047619,376,250,439,420,0.2124183,0.21610169,0.239043824701195,0.252927400468384,306,236,502,427,"1",4,0.221185876082612,0.22754491,"0.96","2016-09-26"
"5",0.17964072,0.22282609,0.239956803455724,0.234765234765235,167,184,4630,5005,0.28947368,0.23529412,0.194774346793349,0.219047619047619,38,68,421,420,0.28947368,0.23529412,0.237986270022883,0.252927400468384,38,68,437,427,"1",4,0.221185876082612,0.29166667,"0.96","2016-09-26"
"6",0.16666667,0.2,0.233922829581994,0.234765234765235,108,75,4976,5005,0.20689655,0.21428571,0.24373576309795,0.219047619047619,29,28,439,420,0,0,0.239043824701195,0.252927400468384,5,4,502,427,"1",4,0.221185876082612,0.2195122,"0.96","2016-09-26"
"7",0.1630094,0.17768595,0.239956803455724,0.234765234765235,319,242,4630,5005,0.20987654,0.2,0.194774346793349,0.219047619047619,81,65,421,420,0.15873016,0.15555556,0.237986270022883,0.252927400468384,63,45,437,427,"1",4,0.221185876082612,0.20634921,"0.96","2016-09-26"
"8",0.244854,0.25319602,0.239956803455724,0.234765234765235,4178,2816,4630,5005,0.22474227,0.21474359,0.194774346793349,0.219047619047619,485,312,421,420,0.25858586,0.23404255,0.237986270022883,0.252927400468384,495,329,437,427,"0",4,0.221185876082612,0.23473684,"0.96","2016-09-26"
"9",0.18568995,0.17673378,0.239956803455724,0.234765234765235,587,447,4630,5005,0.20192308,0.16438356,0.194774346793349,0.219047619047619,104,73,421,420,0.33333333,NA,0.237986270022883,0.252927400468384,3,NA,437,427,"1",4,0.221185876082612,0.14649682,"0.96","2016-09-26"
"10",0.31578947,0.29955947,0.234375,0.232521602513747,95,227,1728,1273,0.31578947,0.29955947,0.228310502283105,0.212121212121212,95,227,219,165,0.31578947,0.29955947,0.240618101545254,0.211656441717791,95,227,453,326,"0",5,0.199453551912568,0.272,"0.96","2016-09-26"
