,avgHandBatterCareer,avgPlaceBatterCareer,avgHandPitcherCareer,avgPlacePitcherCareer,sampleHandBatterCareer,samplePlaceBatterCareer,sampleHandPitcherCareer,samplePlacePitcherCareer,avgHandBatter2015,avgPlaceBatter2015,avgHandPitcher2015,avgPlacePitcher2015,sampleHandBatter2015,samplePlaceBatter2015,sampleHandPitcher2015,samplePlacePitcher2015,avgHandBatter2014,avgPlaceBatter2014,avgHandPitcher2014,avgPlacePitcher2014,sampleHandBatter2014,samplePlaceBatter2014,sampleHandPitcher2014,samplePlacePitcher2014,hit,atBats,pitcherAvgInMonth,batterAvgInMonth,parkFactor,Date
1,0.24313725,0.23932347,0.2233009709,0.212244898,3315,2365,309,245,0.2360515,0.22752809,0.2233009709,0.212244898,466,356,309,245,0.25591398,0.25925926,0.2233009709,0.212244898,465,324,309,245,0,3,0.1984732824,0.23002755,0.868,2016-07-17
2,0.25754527,0.25311203,0.1982248521,0.212244898,2485,1928,338,245,0.27431421,0.25797101,0.1982248521,0.212244898,401,345,338,245,0.24935733,0.28719723,0.1982248521,0.212244898,389,289,338,245,1,4,0.1984732824,0.27892235,0.868,2016-07-17
3,0.24561404,0.24195122,0.1982248521,0.212244898,2850,2050,338,245,0.24933687,0.25471698,0.1982248521,0.212244898,377,318,338,245,0.18823529,0.22222222,0.1982248521,0.212244898,255,225,338,245,1,4,0.1984732824,0.23442136,0.868,2016-07-17
4,0.25912596,0.25792812,0.2233009709,0.212244898,1945,1419,309,245,0.26719577,0.25,0.2233009709,0.212244898,378,292,309,245,0.26143791,0.25867508,0.2233009709,0.212244898,459,317,309,245,0,4,0.1984732824,0.21719457,0.868,2016-07-17
5,0.23666211,0.22965116,0.1982248521,0.212244898,3655,2752,338,245,0.22101449,0.21719457,0.1982248521,0.212244898,276,221,338,245,0.23672566,0.24702381,0.1982248521,0.212244898,452,336,338,245,1,4,0.1984732824,0.23636364,0.868,2016-07-17
6,0.26708075,0.24057971,0.2233009709,0.212244898,483,345,309,245,0.22818792,0.20909091,0.2233009709,0.212244898,149,110,309,245,0.22818792,0.20909091,0.2233009709,0.212244898,149,110,309,245,1,4,0.1984732824,0.24193548,0.868,2016-07-17
7,0.23357664,0.23018868,0.2233009709,0.212244898,411,265,309,245,0.17241379,0,0.2233009709,0.212244898,29,10,309,245,0.17241379,0,0.2233009709,0.212244898,29,10,309,245,1,4,0.1984732824,0.31147541,0.868,2016-07-17
8,0.23394495,0.25925926,0.2233009709,0.212244898,218,162,309,245,0.2375,0.26923077,0.2233009709,0.212244898,80,52,309,245,0.3,0.34782609,0.2233009709,0.212244898,30,23,309,245,0,3,0.1984732824,0.19565217,0.868,2016-07-17
9,0.23692552,0.21941489,0.1982248521,0.212244898,1262,752,338,245,0.22826087,0.20869565,0.1982248521,0.212244898,184,115,338,245,0.24463519,0.26119403,0.1982248521,0.212244898,233,134,338,245,0,2,0.1984732824,0.20879121,0.868,2016-07-17
10,0.23808594,0.26429405,0.2308385933,0.2289452167,5120,3428,1109,1223,0.27153558,0.27647059,0.2145015106,0.2324929972,534,340,331,357,0.25641026,0.24576271,0.2235649547,0.2125984252,546,354,331,381,1,4,0.2284866469,0.24466192,0.868,2016-07-17
