,c.avgHandBatter.,c.avgPlaceBatter.,c.avgHandPitcher.,c.avgPlacePitcher.,c.sampleHandBatter.,c.samplePlaceBatter.,c.sampleHandPitcher.,c.samplePlacePitcher.,c.avgHandBatter..1,c.avgPlaceBatter..1,c.avgHandPitcher..1,c.avgPlacePitcher..1,c.sampleHandBatter..1,c.samplePlaceBatter..1,c.sampleHandPitcher..1,c.samplePlacePitcher..1,c.avgHandBatter..2,c.avgPlaceBatter..2,c.avgHandPitcher..2,c.avgPlacePitcher..2,c.sampleHandBatter..2,c.samplePlaceBatter..2,c.sampleHandPitcher..2,c.samplePlacePitcher..2,hit,atBats,pitcherInMonth.pitcherInMonth.c.pitcherInMonth.,pitcherInMonth.batterInMonth.c.batterInMonth.,parkFactor,dateColumn
1,0.2319622387,0.2260536398,0.265625,0.259063942,2966,2088,3392,3034,0.2214912281,0.2072072072,0.2660098522,0.2585227273,456,333,406,352,0.2214765101,0.2113564669,0.2478991597,0.2680965147,447,317,476,373,TRUE,4,0.2549194991,0.2023633678,0.868,2016-08-09
2,0.2607550483,0.2503799392,0.265625,0.259063942,3417,2632,3392,3034,0.2347560976,0.2328244275,0.2660098522,0.2585227273,328,262,406,352,0.2328767123,0.224852071,0.2478991597,0.2680965147,438,338,476,373,FALSE,3,0.2549194991,0.2524752475,0.868,2016-08-09
3,0.2252964427,0.2206448508,0.265625,0.259063942,5566,4156,3392,3034,0.233974359,0.2096774194,0.2660098522,0.2585227273,312,248,406,352,0.1868131868,0.1872791519,0.2478991597,0.2680965147,364,283,476,373,FALSE,5,0.2549194991,0.2447988904,0.868,2016-08-09
4,0.237084218,0.2355084465,0.265625,0.259063942,4239,3019,3392,3034,0.1990049751,0.1854545455,0.2660098522,0.2585227273,402,275,406,352,0.1908396947,0.2,0.2478991597,0.2680965147,393,260,476,373,TRUE,4,0.2549194991,0.2284644195,0.868,2016-08-09
5,0.2597756896,0.2617239839,0.2444603288,0.259063942,3299,2239,2798,3034,0.2450331126,0.2704402516,0.2658610272,0.2585227273,453,318,331,352,0.2692307692,0.2820512821,0.2554945055,0.2680965147,442,312,364,373,TRUE,4,0.2549194991,0.2846347607,0.868,2016-08-09
6,1,0.257997936,0.265625,0.259063942,1,969,3392,3034,0.2487922705,0.2771929825,0.2660098522,0.2585227273,414,285,406,352,0.22406639,0.2119205298,0.2478991597,0.2680965147,241,151,476,373,FALSE,4,0.2549194991,0.2208121827,0.868,2016-08-09
7,0.2417503587,0.257997936,0.265625,0.259063942,1394,969,3392,3034,0.2487922705,0.2771929825,0.2660098522,0.2585227273,414,285,406,352,0.22406639,0.2119205298,0.2478991597,0.2680965147,241,151,476,373,FALSE,4,0.2549194991,0.2208121827,0.868,2016-08-09
8,0,0.2502887948,0.265625,0.259063942,2,2597,3392,3034,0.221719457,0.2300613497,0.2660098522,0.2585227273,442,326,406,352,0.213740458,0.2016460905,0.2478991597,0.2680965147,393,243,476,373,TRUE,3,0.2549194991,0.246031746,0.868,2016-08-09
9,0.230941704,0.2502887948,0.265625,0.259063942,3568,2597,3392,3034,0.221719457,0.2300613497,0.2660098522,0.2585227273,442,326,406,352,0.213740458,0.2016460905,0.2478991597,0.2680965147,393,243,476,373,TRUE,3,0.2549194991,0.246031746,0.868,2016-08-09
10,0.2994011976,0.2666666667,0.2444603288,0.259063942,167,120,2798,3034,0,NA,0.2658610272,0.2585227273,1,NA,331,352,0,NA,0.2554945055,0.2680965147,1,NA,364,373,FALSE,4,0.2549194991,0.3457943925,0.868,2016-08-09
